Country,Status
Algeria,US Allies
Angola,US Allies
Bangladesh,Neutral Parties
Benin,US Allies
Bhutan,Neutral Parties
Botswana,US Allies
Burkina Faso,US Allies
Burundi,US Allies
Cameroon,US Allies
Cape Verde,Neutral Parties
Central African Republic,US Allies
Chad,US Allies
Comoros,US Allies
Democratic Republic of the Congo,US Allies
Djibouti,US Allies
Egypt,US Allies
Equatorial Guinea,US Allies
Eretria,Neutral Parties
Eswatini,US Allies
Ethiopia,Neutral Parties
Gabon,US Allies
Ghana,US Allies
Guinea,US Allies
Guinea-Bissau,Neutral Parties
Ivory Coast,Neutral Parties
Kenya,US Allies
Kuwait,US Allies
Lesotho,US Allies
Liberia,US Allies
Madagascar,US Allies
Malawi,US Allies
Mali,US Allies
Mauritania,US Allies
Mauritius,US Allies
Morocco,US Allies
Mozambique,US Allies
Namibia,US Allies
Nepal,Neutral Parties
Niger,US Allies
Nigeria,US Allies
Republic of the Congo,US Allies
Rwanda,US Allies
Saudi Arabia,US Allies
Senegal,US Allies
Seychelles,US Allies
Sierra Leone,US Allies
Singapore,US Allies
Somalia,US Allies
South Africa,US Allies
Sri Lanka,Neutral Parties
Sudan,Neutral Parties
Tanzania,US Allies
The Gambia,Neutral Parties
Togo,US Allies
Tunisia,US Allies
Uganda,US Allies
Zambia,US Allies
Zimbabwe,US Allies
Afghanistan,US Allies
Albania,US Allies
Antigua and Barbuda,US Allies
Argentina,US Allies
Armenia,Neutral Parties
Australia,US Allies
Austria,Neutral Parties
Azerbaijan,Neutral Parties
Bahamas,US Allies
Bahrain,US Allies
Barbados,US Allies
Belarus,Neutral Parties
Belgium,US Allies
Belize,US Allies
Bolivia,US Allies
Bosnia and Herzegovina,Neutral Parties
Brazil,US Allies
Bulgaria,US Allies
Cambodia,Neutral Parties
Canada,US Allies
China,Competitors
Colombia,US Allies
Costa Rica,US Allies
Croatia,US Allies
Cuba,Competitors
Cyprus,Neutral Parties
Czech Republic,US Allies
Denmark,US Allies
Dominica,US Allies
Ecuador,US Allies
El Salvador,US Allies
Estonia,US Allies
Fiji,US Allies
Finland,US Allies
France,US Allies
Georgia,US Allies
Germany,US Allies
Greece,US Allies
Grenada,US Allies
Guatemala,US Allies
Honduras,US Allies
Hungary,US Allies
Iceland,Neutral Parties
India,US Allies
Iran,Competitors
Iraq,Neutral Parties
Ireland,Neutral Parties
Israel,US Allies
Italy,US Allies
Jamaica,US Allies
Japan,US Allies
Jordan,US Allies
Kazakhstan,US Allies
Kiribati,US Allies
Laos,Neutral Parties
Latvia,US Allies
Lebanon,Neutral Parties
Libya,Neutral Parties
Lithuania,US Allies
Luxembourg,Neutral Parties
Malaysia,US Allies
Maldives,Neutral Parties
Malta,Neutral Parties
Marshall Islands,US Allies
Mexico,US Allies
Micronesia,US Allies
Moldova,US Allies
Mongolia,Neutral Parties
Montenegro,US Allies
Myanmar (Burma),Neutral Parties
Netherlands,US Allies
New Zealand,US Allies
Nicaragua,US Allies
North Korea,Competitors
North Macedonia,US Allies
Norway,US Allies
Oman,US Allies
Pakistan,US Allies
Palau,US Allies
Panama,US Allies
Papua New Guinea,US Allies
Paraguay,US Allies
Peru,US Allies
Philippines,US Allies
Poland,US Allies
Portugal,US Allies
Qatar,US Allies
Romania,US Allies
Russia,Competitors
Saint Kitts and Nevis,US Allies
Saint Lucia,US Allies
Saint Vincent and the Grenadines,US Allies
Samoa,US Allies
Sao Tome and Principe,Neutral Parties
São Tomé and Príncipe,US Allies
Serbia,Neutral Parties
Slovakia,US Allies
Slovenia,US Allies
Solomon Islands,US Allies
Somaliland,Neutral Parties
South Korea,US Allies
Spain,US Allies
Sweden,US Allies
Switzerland,Neutral Parties
Syria,Competitors
Taiwan,US Allies
Thailand,US Allies
Timor-Leste,Neutral Parties
Tonga,US Allies
Trinidad and Tobago,US Allies
Turkey,US Allies
Tuvalu,US Allies
UAE,Neutral Parties
Ukraine,US Allies
United Arab Emirates,US Allies
United Kingdom,US Allies
Uruguay,US Allies
Uzbekistan,US Allies
Vanuatu,US Allies
Venezuela,Competitors
Vietnam,Neutral Parties
Western Sahara,Neutral Parties
Yemen,Neutral Parties